Table Name	Field Name	Field Description	Code List Values	Column Mappings	Unit	Override Study Day	Override Study Time	Map To Planned Visit	Verbatim Question	Who is Assessed	Age At Onset Reported	Age At Onset Unit Reported	Location
BAS	PATID	Participant ID		User Defined ID									
BAS	PROTSEG	Protocol Segment	"A=Screening, B=Baked Egg/Egg OIT Treatment"	NA									
BAS	VISNO	Visit Number	"0=Baseline, 1=Visit 1, 2=Visit 2, 3=Visit 3, 4=Visit 4, 5=Visit 5, 6=Visit 6, 7=Visit 7, 8=Visit 8, F01=3 months post final OFC Phone Assessment, F02=6 months post final OFC In person, F03=3 year long term follow-up, F04= 4 year long term follow-up, F05=5 year long term follow-up"	Visit									
BAS	CD63NEG1	Antigen1 CD63neg			percentage								
BAS	C63N63M1	Antigen1 CD63neg_CD63_MFI			"Mean Fluorescence Intensity Unit (MFI,FIU)"								
BAS	C63N63C1	Antigen1 CD63neg_CD63_CV			percentage								
BAS	C63N20M1	Antign1 CD63neg_CD203_MFI			"Mean Fluorescence Intensity Unit (MFI,FIU)"								
BAS	CD63NNT1	Antigen1 CD63neg_COUNT			Count								
BAS	CD63NEG2	Antigen2 CD63neg			percentage								
BAS	C63N63M2	Antigen2 CD63neg_CD63_MFI			"Mean Fluorescence Intensity Unit (MFI,FIU)"								
BAS	C63N63C2	Antigen2 CD63neg_CD63_CV			percentage								
BAS	C63N20M2	Antign2 CD63neg_CD203_MFI			"Mean Fluorescence Intensity Unit (MFI,FIU)"								
BAS	CD63NNT2	Antigen2 CD63neg_COUNT			Count								
BAS	CD63NEG3	Antigen3 CD63neg			percentage								
BAS	C63N63M3	Antigen3 CD63neg_CD63_MFI			"Mean Fluorescence Intensity Unit (MFI,FIU)"								
BAS	C63N63C3	Antigen3 CD63neg_CD63_CV			percentage								
BAS	C63N20M3	Antign3 CD63neg_CD203_MFI			"Mean Fluorescence Intensity Unit (MFI,FIU)"								
BAS	CD63NNT3	Antigen3 CD63neg_COUNT			Count								
BAS	CD63NEG4	Antigen4 CD63neg			percentage								
BAS	C63N63M4	Antigen4 CD63neg_CD63_MFI			"Mean Fluorescence Intensity Unit (MFI,FIU)"								
BAS	C63N63C4	Antigen4 CD63neg_CD63_CV			percentage								
