PLANNED_VISIT_ACCESSION	END_RULE	MAX_START_DAY	MIN_START_DAY	NAME	ORDER_NUMBER	PERIOD_ACCESSION	START_RULE	STUDY_ACCESSION	WORKSPACE_ID
PV07091992		0	0	Screening	1	P05281998		SDY08181995	18888
PV07091993		0	0	Baseline	2	P05281998		SDY08181995	18888
PV07091994		6	1	Visit 1	3	P05281998		SDY08181995	18888
PV07091995		295	12	Study Product Build-up (Egg OIT Subjects)	4	P05281998		SDY08181995	18888
PV07091996		87	79	Visit 2	5	P05281998		SDY08181995	18888
PV07091997		176	160	Visit 3	6	P05281998		SDY08181995	18888
PV07091998		298	270	Month 9 Study Assessment (Baked Egg Subjects)	7	P05281998		SDY08181995	18888
PV07091999		391	365	Visit 4	8	P05281998		SDY08181995	18888
PV07092000		487	470	Visit 5	9	P05281998		SDY08181995	18888
PV07092001		597	585	Visit 6	10	P05281998		SDY08181995	18888
PV07092002		746	731	Visit 7	11	P05281998		SDY08181995	18888
PV07092003		803	782	Visit 8	12	P05281998		SDY08181995	18888
PV07092004		98	87	3 months post final OFC Phone Assessment	13	P05281998		SDY08181995	18888
PV07092005		196	178	6 months post final OFC In person	14	P05281998		SDY08181995	18888
PV07092006		1145	1100	3 year long term follow-up	15	P05281998		SDY08181995	18888
PV07092007		1555	1460	4 year long term follow-up	16	P05281998		SDY08181995	18888
PV07092008		1835	1830	5 year long term follow-up	17	P05281998		SDY08181995	18888
PV07092009		803	0	Unknown visit	18	P05281998		SDY08181995	18888
